# x
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 3.015075325965881348e-01
1.000000000000000000e+00 6.532663106918334961e-01
1.000000000000000000e+00 1.005025148391723633e+00
1.000000000000000000e+00 1.356783866882324219e+00
1.000000000000000000e+00 1.708542704582214355e+00
1.000000000000000000e+00 2.060301542282104492e+00
1.000000000000000000e+00 2.412060260772705078e+00
1.000000000000000000e+00 2.713567733764648438e+00
1.000000000000000000e+00 3.065326690673828125e+00
1.000000000000000000e+00 3.417085409164428711e+00
1.000000000000000000e+00 3.768844127655029297e+00
1.000000000000000000e+00 4.120603084564208984e+00
1.000000000000000000e+00 4.472362041473388672e+00
1.000000000000000000e+00 4.824120521545410156e+00
1.000000000000000000e+00 5.125627994537353516e+00
1.000000000000000000e+00 5.477386951446533203e+00
1.000000000000000000e+00 5.829145908355712891e+00
1.000000000000000000e+00 6.180904388427734375e+00
1.000000000000000000e+00 6.532663345336914062e+00
1.000000000000000000e+00 6.884422302246093750e+00
1.000000000000000000e+00 7.236180782318115234e+00
1.000000000000000000e+00 7.537688255310058594e+00
1.000000000000000000e+00 7.889447212219238281e+00
1.000000000000000000e+00 8.241206169128417969e+00
1.000000000000000000e+00 8.592965126037597656e+00
1.000000000000000000e+00 8.944724082946777344e+00
1.000000000000000000e+00 9.296482086181640625e+00
1.000000000000000000e+00 9.648241043090820312e+00
1.000000000000000000e+00 1.000000000000000000e+01
1.000000000000000000e+00 0.000000000000000000e+00
1.000000000000000000e+00 3.015075325965881348e-01
1.000000000000000000e+00 6.532663106918334961e-01
1.000000000000000000e+00 1.005025148391723633e+00
1.000000000000000000e+00 1.356783866882324219e+00
1.000000000000000000e+00 1.708542704582214355e+00
1.000000000000000000e+00 2.060301542282104492e+00
1.000000000000000000e+00 2.412060260772705078e+00
1.000000000000000000e+00 2.713567733764648438e+00
1.000000000000000000e+00 3.065326690673828125e+00
1.000000000000000000e+00 3.417085409164428711e+00
1.000000000000000000e+00 3.768844127655029297e+00
1.000000000000000000e+00 4.120603084564208984e+00
1.000000000000000000e+00 4.472362041473388672e+00
1.000000000000000000e+00 4.824120521545410156e+00
1.000000000000000000e+00 5.125627994537353516e+00
1.000000000000000000e+00 5.477386951446533203e+00
1.000000000000000000e+00 5.829145908355712891e+00
1.000000000000000000e+00 6.180904388427734375e+00
1.000000000000000000e+00 6.532663345336914062e+00
1.000000000000000000e+00 6.884422302246093750e+00
1.000000000000000000e+00 7.236180782318115234e+00
1.000000000000000000e+00 7.537688255310058594e+00
